abgerufen,datum_post,ordner,media_id,typ,permalink,reach,views,likes,comments,saved,shares,interaktionen
2026-08-20,2026-08-20,2026-08-20_stillness-flowing-life,17903708436323945,REELS,https://www.instagram.com/reel/DcQE0WDjJd3/,76,81,3,0,0,0,3
2026-08-20,2026-08-19,2026-08-19_attention-by-itself,18386532469166191,REELS,https://www.instagram.com/reel/DcNf1G2D3Vy/,57,64,0,0,0,0,0
2026-08-20,2026-08-18,2026-08-18_illusion-out-of-work,18149678101511548,REELS,https://www.instagram.com/reel/DcK3Nr8lUqa/,108,120,3,0,0,0,3
2026-08-20,2026-08-17,2026-08-17_no-ideal-to-match,17965730181150596,REELS,https://www.instagram.com/reel/DcIQec-Ccrc/,63,72,0,0,0,0,0
2026-08-20,2026-08-16,2026-08-16_question-every-fact,18004112939968334,REELS,https://www.instagram.com/reel/DcFxHdzlB8P/,65,66,0,0,0,0,0
2026-08-20,2026-08-15,2026-08-15_no-one-growing-trees,18339051100253108,REELS,https://www.instagram.com/reel/DcDMTvqkbMp/,160,164,2,0,0,0,2
2026-08-20,2026-08-14,2026-08-14_life-lives-itself,17943437685268324,REELS,https://www.instagram.com/reel/DcAvwf6DjEK/,76,81,2,0,0,0,2
2026-08-20,2026-08-13,2026-08-13_knowing-set-down,18120660058890621,REELS,https://www.instagram.com/reel/Db-F63OiglT/,49,54,0,0,0,0,0
2026-08-20,2026-08-12,2026-08-12_being-needs-no-advice,17948947437036969,REELS,https://www.instagram.com/reel/Db7gtb_gnDD/,44,51,0,0,0,0,0
2026-08-20,2026-08-11,2026-08-11_truth-before-trying,17890168569604155,REELS,https://www.instagram.com/reel/Db5IaxcklBh/,58,65,0,0,0,0,0
2026-08-20,2026-08-10,2026-08-10_trust-holds-nothing-back,18088159460651772,REELS,https://www.instagram.com/reel/Db2qirwkjJA/,57,63,2,0,0,0,2
2026-08-20,2026-08-09,2026-08-09_stop-adding,18102449501246065,REELS,https://www.instagram.com/reel/Dbz9S9OFDsA/,54,57,0,0,0,0,0
2026-08-20,2026-08-08,2026-08-08_rest-in-the-changeless,18145088560548255,REELS,https://www.instagram.com/reel/DbxYK3YkxKj/,44,56,0,0,0,0,0
2026-08-20,2026-08-07,2026-08-07_every-moment-sacred,18130342039710989,REELS,https://www.instagram.com/reel/DbuvRgEjhYa/,44,49,0,0,0,0,0
2026-08-20,2026-08-06,2026-08-06_cooperate-with-inevitable,17939606001315599,FEED,https://www.instagram.com/p/DbsMclrmx93/,1,2,0,0,0,0,0
2026-08-20,2026-08-05,2026-08-05_life-begins-to-speak,18057734543602066,REELS,https://www.instagram.com/reel/Dbq2PAvEjCp/,155,176,2,0,0,0,2
2026-08-20,2026-08-05,2026-08-05_stop-searching-pastell,17983554891048561,REELS,https://www.instagram.com/reel/DbqNctCAL_f/,43,47,0,0,0,0,0
2026-08-20,2026-08-05,2026-08-05_breath-stillness,18072011447407519,REELS,https://www.instagram.com/reel/DbqNYAslO27/,104,112,0,0,0,0,0
